OCC_CODE,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE
19-3051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3091,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3092,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3093,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3094,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4013,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4042,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4043,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4044,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4060,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4061,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4070,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4071,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4092,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-4099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-5000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-5010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-5011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-5012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1013,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1015,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1018,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1019,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1023,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1029,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1091,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1092,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1093,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1094,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-1099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
21-2099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-1023,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-2090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-2093,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
23-2099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1032,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1042,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1043,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1051,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1052,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1053,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1054,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1060,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1061,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1062,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1063,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1064,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1065,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1066,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1067,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1069,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1070,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1071,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1072,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1080,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1081,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1082,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1110,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1111,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1112,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1113,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1120,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1121,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1122,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1123,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1124,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1125,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
25-1126,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
